question_id,disease_category,disease_prevalence,question_type,requires_visual_reasoning,original_disease,canonical_disease,disease_subcategory,language,is_valid,quality_notes,question_structure,difficulty,difficulty_rationale
447,Infectious,common,treatment,False,Genital Herpes,Genital Herpes,Viral,english,True,,vignette,easy,Identifying genital herpes and linking acyclovir’s thymidine kinase activation to its classic adverse effect of crystal nephropathy/renal failure is core pharmacology commonly recalled by general dermatologists.
455,Inflammatory,moderate,diagnosis,False,Lichen Planus,Lichen Planus,Papulosquamous,english,True,,vignette,medium,Associating acute hepatitis C infection with risk of lichen planus and recognizing its histology of lichenoid interface dermatitis (band-like lymphocytic infiltrate at the dermal–epidermal junction) requires solid dermatology training beyond core basics.
457,Infectious,moderate,diagnosis,False,Syphilis,Syphilis,Bacterial,english,True,,vignette,easy,Recognizing secondary syphilis (palms/soles rash with positive VDRL) and confirming with a treponemal-specific test before treatment is core dermatology knowledge.
456,Inflammatory,common,treatment,True,Psoriasis,Psoriasis Vulgaris,Papulosquamous,english,True,,vignette,easy,"Classic plaque psoriasis on extensor surfaces in a healthy young adult is managed first-line with topical corticosteroids and/or vitamin D analogs, a core dermatology principle."
458,Neoplastic,common,mechanism,False,Melanoma,Melanoma,Malignant,english,True,,vignette,medium,"Identifying CTLA-4’s ligand as B7 (CD80/CD86) is immunology knowledge more typical of exam prep than day-to-day dermatology practice, though relevant due to checkpoint inhibitors in melanoma."
460,Inflammatory,moderate,mechanism,False,Bullous Pemphigoid,Bullous Pemphigoid,Autoimmune,english,True,,vignette,easy,"Classic presentation of bullous pemphigoid with tense bullae, negative Nikolsky sign, subepidermal split with eosinophils, and linear immunofluorescence—linking to hemidesmosome defects is fundamental dermatology knowledge."
453,Infectious,moderate,treatment,False,Secondary Syphilis,Secondary Syphilis,Bacterial,english,True,,vignette,easy,Recognizing secondary syphilis and knowing to screen for coexisting STIs like chlamydia and gonorrhea is standard core knowledge for general dermatologists.
459,Inflammatory,moderate,diagnosis,False,Pemphigus Vulgaris,Pemphigus Vulgaris,Autoimmune,english,True,,vignette,easy,Classic features of pemphigus vulgaris—flaccid blisters with mucosal involvement and histology showing suprabasal acantholysis with a “tombstone” basal layer—are core knowledge for general dermatologists.
461,Inflammatory,common,mechanism,False,Acne Vulgaris,Acne Vulgaris,Neutrophilic,english,True,,vignette,easy,Identifying acne vulgaris with comedones and inflammatory lesions and linking it to androgen-driven sebaceous activity is core dermatology knowledge.
462,Infectious,moderate,diagnosis,True,Staphylococcal Scalded Skin Syndrome,Staphylococcal Scalded Skin Syndrome,Bacterial,english,True,,vignette,easy,"Distinguishing SSSS from TEN by age, lack of mucosal involvement, scarlatiniform rash with tender, flaccid bullae is classic core knowledge for general dermatologists."
463,Inflammatory,moderate,mechanism,False,Bullous Pemphigoid,Bullous Pemphigoid,Autoimmune,english,True,,vignette,easy,Classic bullous pemphigoid presentation and histology with linear IgG along the basement membrane is core dermatology knowledge easily recalled by general dermatologists.
464,Neoplastic,common,mechanism,False,Melanoma,Melanoma,Malignant,english,True,,vignette,easy,"Identifying BRAF mutation as characteristic of melanoma is core dermatology knowledge linked to a classic changing, irregular pigmented lesion."
465,Infectious,common,prognosis,False,Impetigo,Impetigo,Bacterial,english,True,,short_stem,easy,Recognizing that impetigo due to group A Streptococcus (bacitracin-sensitive chains) can lead to post-streptococcal glomerulonephritis presenting with hematuria is core dermatology knowledge.
466,Inflammatory,moderate,mechanism,False,Systemic Lupus Erythematosus,Systemic Lupus Erythematosus,Autoimmune,english,True,,vignette,easy,"The presentation is classic for pediatric systemic lupus erythematosus with photosensitive malar rash, oral ulcers, arthritis, cytopenias, positive ANA, and it is well-known that SLE is mediated by immune complex deposition (type III hypersensitivity)."
467,Infectious,common,diagnosis,False,Cellulitis,Cellulitis,Bacterial,english,True,,vignette,easy,"Classic presentation of lower-extremity cellulitis with warmth, tenderness, poorly demarcated erythema, minor skin break, mild fever, and exclusion of abscess/DVT—core knowledge for any general dermatologist."
468,Other,common,mechanism,False,General,General,Unclassified,english,True,,short_stem,easy,Knowing that PABA sunscreens primarily absorb UVB is core dermatology knowledge about classic sunscreen agents and their UV coverage.
469,Infectious,common,diagnosis,True,Erythema Infectiosum,Erythema Infectiosum,Viral,english,True,,vignette,easy,"The classic slapped-cheek facial erythema with lacy reticular rash on the extremities after a viral prodrome in a vaccinated child points directly to parvovirus B19 (erythema infectiosum), a core pediatric dermatology diagnosis."
471,Neoplastic,common,mechanism,False,Melanoma,Melanoma,Malignant,english,True,,vignette,easy,Identifying UV-induced pyrimidine dimers as the mutagenic event leading to BRAF-mutated melanoma is fundamental dermatology knowledge.
470,Infectious,common,diagnosis,False,Hand Foot And Mouth Disease,"Hand, Foot, and Mouth Disease",Viral,english,True,,vignette,easy,"Classic hand-foot-and-mouth disease presentation with oral enanthem and acral papules in a toddler points to Coxsackievirus, a common, well-known diagnosis for general dermatologists."
472,Inflammatory,moderate,diagnosis,True,Erythema Multiforme,Erythema Multiforme,Vascular & Urticarial,english,True,,vignette,easy,"Classic targetoid lesions with dusky centers following recurrent HSV point to erythema multiforme, a well-known association and presentation for general dermatologists."
474,Infectious,moderate,prognosis,True,Lyme Disease,Lyme Disease,Bacterial,english,True,,vignette,easy,Recognizing erythema migrans from Lyme disease and knowing untreated early disease can lead to facial nerve palsy is core dermatology knowledge.
473,Inflammatory,common,treatment,False,Psoriasis,Psoriasis Vulgaris,Papulosquamous,english,True,,vignette,easy,"This is classic mild plaque psoriasis with limited BSA, for which first-line therapy is topical high-potency corticosteroids and/or vitamin D analogs, a core treatment approach well known to general dermatologists."
475,Neoplastic,common,treatment,True,Infantile Hemangioma,Infantile Hemangioma,Vascular Tumours,english,True,,vignette,easy,"Identifying and reassuring for a classic, uncomplicated infantile hemangioma in a 5-month-old with a soft, blanching, enlarging red scalp lesion is core pediatric dermatology knowledge for general dermatologists."
476,Infectious,common,diagnosis,False,Herpes Zoster,Herpes Zoster,Viral,english,True,,vignette,easy,Classic localized dermatomal vesicular eruption consistent with herpes zoster confirmed by Tzanck smear showing multinucleated giant cells is core dermatology knowledge.
477,Genetic Rare,rare,diagnosis,False,Wiskott-Aldrich Syndrome,Wiskott-Aldrich Syndrome,Syndromic,english,True,,vignette,easy,"Classic triad of Wiskott-Aldrich syndrome—eczema, recurrent infections, and thrombocytopenia with small platelets and elevated IgE—is core pediatric dermatology/immunology knowledge recognizable to general dermatologists."
478,Infectious,common,diagnosis,False,Mycoplasma Pneumoniae Infection,Mycoplasma Pneumoniae Infection,Bacterial,english,True,,vignette,easy,Classic association of atypical pneumonia in young adults with cold agglutinin-mediated hemolysis and erythema multiforme-like lesions points to Mycoplasma pneumoniae.
479,Infectious,moderate,prognosis,False,Measles,Measles,Viral,english,True,,vignette,easy,Classic measles presentation with Koplik spots and cephalocaudal spread; recognizing risk of subacute sclerosing panencephalitis (late CNS degeneration) is core knowledge for general dermatologists.
480,Inflammatory,moderate,treatment,False,Pityriasis Rosea,Pityriasis Rosea,Papulosquamous,english,True,,vignette,easy,"Classic presentation of pityriasis rosea with herald patch and Christmas-tree distribution, where management is reassurance and antipruritic measures."
481,Inflammatory,moderate,diagnosis,True,Guttate Psoriasis,Guttate Psoriasis,Papulosquamous,english,True,,vignette,easy,Classic presentation of guttate psoriasis with drop-like scaly papules on trunk following streptococcal pharyngitis is core dermatology knowledge.
482,Inflammatory,moderate,mechanism,True,Keloid,Keloid,Autoimmune,english,True,,short_stem,easy,"Identifying post-piercing auricular keloids and knowing they result from excessive, hyalinized collagen deposition is core dermatology knowledge."
484,Inflammatory,common,mechanism,True,Pseudofolliculitis Barbae,Pseudofolliculitis Barbae,Neutrophilic,english,True,,vignette,easy,Identifying pseudofolliculitis barbae in a young man with beard-area papules and recognizing ingrown hair pathogenesis (distal hair penetrating adjacent skin) is classic core knowledge for general dermatologists.
483,Metabolic Systemic,moderate,diagnosis,False,Sarcoidosis,Sarcoidosis,Systemic Disease Manifestations,english,True,,vignette,easy,"Classic triad of erythema nodosum, bilateral hilar adenopathy, and arthralgias (Löfgren syndrome) strongly indicates sarcoidosis, a well-known core diagnosis for dermatologists."
485,Metabolic Systemic,rare,diagnosis,False,Necrolytic Migratory Erythema,Necrolytic Migratory Erythema,Endocrine-Associated,english,True,,vignette,medium,Recognizing necrolytic migratory erythema with weight loss and diabetes as a glucagonoma manifestation (vs other blistering or endocrine syndromes) requires solid training and pattern recognition beyond basic dermatology.
486,Neoplastic,moderate,diagnosis,True,Kaposi Sarcoma,Kaposi Sarcoma,Vascular Tumours,english,True,,vignette,easy,"Classic Kaposi sarcoma in an AIDS patient with very low CD4 count and violaceous plaques is strongly associated with HHV-8, a core association most dermatologists recall readily."
487,Infectious,common,treatment,True,Scabies,Scabies,Parasitic & Other,english,True,,vignette,easy,Classic scabies presentation (intensely pruritic nocturnal itch with hand web burrows) where first-line topical permethrin acts by binding parasite sodium channels is core dermatology knowledge.
488,Neoplastic,moderate,diagnosis,False,Mycosis Fungoides,Mycosis Fungoides,Malignant,english,True,,vignette,easy,"Recognizing mycosis fungoides/Sezary syndrome from pruritic plaques, lymphadenopathy, epidermotropic neoplastic cells (Pautrier microabscesses), and the hallmark Sezary cells with cerebriform nuclei is core dermatology knowledge."
491,Genetic Rare,rare,mechanism,False,Hyper-Ige Syndrome,Hyper-IgE Syndrome,Syndromic,english,True,,vignette,medium,"Identifying STAT3 (transcription factor) dysfunction in Job (hyper-IgE) syndrome from the triad of recurrent skin infections, pruritic eczematous rash, and cold (nonpurulent) abscesses requires recognizing a less-common immunodeficiency and linking it to disrupted transcription factor activity rather than more familiar phagocyte defects."
490,Neoplastic,common,diagnosis,False,Basal Cell Carcinoma,Basal Cell Carcinoma,Malignant,english,True,,short_stem,easy,"Classic basal cell carcinoma presentation with rolled borders, telangiectasias, and central ulceration; hallmark histology is peripheral palisading nuclei."
489,Infectious,moderate,diagnosis,False,Cutaneous Larva Migrans,Cutaneous Larva Migrans,Parasitic & Other,english,True,,vignette,easy,"Classic presentation of cutaneous larva migrans after beach exposure with serpiginous, pruritic, migrating track pointing to Ancylostoma braziliense, a well-known board staple."
494,Infectious,moderate,diagnosis,True,Eczema Herpeticum,Eczema Herpeticum,Viral,english,True,,vignette,easy,"Classic presentation of eczema herpeticum in a child with atopic dermatitis—painful, pruritic, monomorphic vesiculopustules with systemic symptoms and lymphadenopathy—is core knowledge for general dermatologists."
493,Genetic Rare,rare,treatment,False,Erythropoietic Protoporphyria,Erythropoietic Protoporphyria,Metabolic-Genetic,english,True,,vignette,medium,Recognizing pediatric photosensitivity with pain and petechiae as erythropoietic protoporphyria and knowing oral beta carotene as symptomatic photoprotection requires solid training beyond basic dermatology but not subspecialty depth.
495,Inflammatory,common,mechanism,False,Stasis Dermatitis,Stasis Dermatitis,Eczematous,english,True,,vignette,easy,"Classic presentation of chronic venous insufficiency with dependent edema, pruritus, and reddish-brown stasis dermatitis on the legs points to venous valve incompetence, a core dermatology topic."
497,Infectious,moderate,diagnosis,False,Chancroid,Chancroid,Bacterial,english,True,,vignette,easy,"Classic painless vs painful genital ulcer differentiation with tender, fluctuant inguinal nodes and ragged, purulent ulcer pointing to chancroid over syphilitic chancre, condyloma, or LGV—core STD dermatology knowledge."
496,Inflammatory,moderate,diagnosis,False,Dermatitis Herpetiformis,Dermatitis Herpetiformis,Autoimmune,english,True,,vignette,easy,Classic association of intensely pruritic grouped vesicles on extensor surfaces (dermatitis herpetiformis) with celiac disease is core dermatology knowledge.
498,Neoplastic,moderate,diagnosis,False,Seborrheic Keratosis (Sign Of Leser-Trélat),Seborrheic Keratosis,Benign,english,True,,short_stem,medium,Recognizing sudden-onset multiple seborrheic keratoses and linking them to the Leser-Trélat sign and an underlying internal malignancy (classically gastric adenocarcinoma) requires subspecialty-level association beyond routine dermatology practice.
499,Inflammatory,moderate,diagnosis,False,Lichen Sclerosus,Lichen Sclerosus,Autoimmune,english,True,,vignette,medium,Recognizing male genital lichen sclerosus with meatal stenosis and knowing biopsy is indicated to confirm diagnosis and assess malignancy risk goes beyond basic therapy recall and requires nuanced clinical judgment.
500,Metabolic Systemic,rare,diagnosis,False,Riboflavin Deficiency,Riboflavin Deficiency,Nutritional,english,True,,vignette,medium,"Identifying riboflavin (B2) deficiency from the constellation of cheilosis, glossitis, conjunctivitis, and photophobia is core, but knowing that erythrocyte glutathione reductase activity is the specific confirmatory test requires more specialized recall."
501,Infectious,common,diagnosis,False,Enterobiasis,Enterobiasis,Parasitic & Other,english,True,,vignette,easy,"Classic presentation of pinworm infection with nocturnal perianal pruritus in a child, making Enterobius vermicularis the straightforward choice."
492,Genetic Rare,rare,mechanism,False,Hyper-Ige Syndrome,Hyper-IgE Syndrome,Syndromic,english,True,,vignette,medium,"Recognizing Hyper-IgE (Job) syndrome from recurrent “cold” staph abscesses, eczema, coarse facies, and pruritus and linking it to STAT3 mutations is beyond core eczema knowledge but expected of a well-trained dermatologist."
503,Infectious,common,treatment,True,Tinea Capitis,Tinea Capitis,Fungal,english,True,,vignette,easy,"Classic tinea capitis in a child with pruritic scalp, patchy hair loss, occipital lymphadenopathy; standard first-line treatment is oral griseofulvin."
502,Inflammatory,rare,diagnosis,True,Behçet Disease,Behçet's Disease,Neutrophilic,english,True,,vignette,medium,Recognizing Behçet disease from recurrent oral and genital ulcers with scarring and erythema nodosum–like lesions and identifying uveitis as a key complication requires solid training beyond basic dermatology but is not subspecialty-level complexity.
504,Inflammatory,moderate,diagnosis,True,Pemphigus Vulgaris,Pemphigus Vulgaris,Autoimmune,english,True,,vignette,easy,"Classic pemphigus vulgaris presentation with flaccid bullae and positive Nikolsky sign pointing to autoantibodies against desmogleins in desmosomes, a core dermatology fact."
506,Pigmentation,moderate,epidemiology,False,Vitiligo,Vitiligo,Hypopigmentation,english,True,,vignette,easy,Classic vitiligo presentation with Wood’s lamp accentuation and association with autoimmune thyroid disease (anti-TPO antibodies) is core dermatology knowledge.
507,Inflammatory,common,diagnosis,True,Aphthous Stomatitis,Aphthous Stomatitis,Neutrophilic,english,True,,vignette,easy,"Recurrent, painful shallow oral ulcers without systemic findings or genital lesions in an otherwise healthy teen are classic for aphthous stomatitis, a core diagnosis general dermatologists recognize readily."
505,Inflammatory,rare,diagnosis,False,Crest Syndrome,CREST Syndrome,Autoimmune,english,True,,vignette,easy,"Identifying limited cutaneous systemic sclerosis (CREST) via anticentromere antibodies, Raynaud’s, telangiectasias, and sclerodactyly is core knowledge, and distinguishing it from dermatomyositis’ heliotrope rash is a classic, straightforward differentiation."
508,Inflammatory,moderate,mechanism,False,Psoriatic Arthritis,Psoriatic Arthritis,Autoimmune,english,True,,vignette,easy,"Recognizing psoriatic arthritis from psoriasis with nail pitting, DIP involvement, and morning stiffness and linking it to TNF-mediated inflammation and osteoclast activation via RANKL is core dermatology knowledge."
510,Inflammatory,moderate,mechanism,False,Ulcerative Colitis,Ulcerative Colitis,Neutrophilic,english,True,,vignette,easy,Identifying ulcerative colitis treated with 5-aminosalicylic acid (mesalamine) causing photosensitivity and recognizing its COX-inhibiting mechanism is core dermatology/internal medicine knowledge.
509,Inflammatory,common,mechanism,False,Acne Vulgaris,Acne Vulgaris,Neutrophilic,english,True,,vignette,easy,Classic adolescent inflammatory acne linked to Cutibacterium acnes is core dermatology knowledge recognized immediately by any general dermatologist.
511,Metabolic Systemic,moderate,treatment,False,Vitamin A Deficiency,Vitamin A Deficiency,Nutritional,english,True,,vignette,medium,Recognizing night blindness with Bitot spots and xerosis due to fat-soluble vitamin A deficiency in a child with cystic fibrosis requires linking malabsorption to specific ocular and cutaneous findings beyond basic dermatology.
512,Infectious,common,epidemiology,False,Candidiasis,Candidiasis,Fungal,english,True,,short_stem,easy,Recognizing Candida esophagitis as common in advanced HIV but rare in immunocompetent hosts is core knowledge for general dermatologists familiar with opportunistic infections.
514,Other,common,diagnosis,False,General,General,Unclassified,english,True,,short_stem,easy,"Identifying a flat, pigmented, 6 mm lesion as a macule is fundamental dermatologic terminology expected of any general dermatologist."
513,Other,common,treatment,False,Photoaging,Photoaging,Traumatic & Environmental,english,True,,vignette,easy,Recognizing zinc oxide as a broad-spectrum physical blocker that protects against UVA and UVB to prevent photoaging is core dermatology knowledge.
515,Pigmentation,moderate,diagnosis,True,Vitiligo,Vitiligo,Hypopigmentation,english,True,,vignette,easy,"Classic vitiligo with sharply depigmented peri-orificial and acral lesions without sensory loss or inflammation points to autoimmune melanocyte destruction, a core diagnosis for general dermatologists."
516,Genetic Rare,rare,diagnosis,False,Myeloperoxidase Deficiency,Myeloperoxidase Deficiency,Metabolic-Genetic,english,True,,vignette,medium,Identifying myeloperoxidase deficiency from a candidal pustular infection with normal NBT requires recalling nuanced neutrophil function testing and differentiating it from CGD and other immunodeficiencies.
517,Infectious,common,diagnosis,True,Herpes Zoster,Herpes Zoster,Viral,english,True,,vignette,easy,"Dermatomal painful vesicles with preceding burning in an immunocompromised child on chemotherapy is a classic presentation of herpes zoster reactivation, a core diagnosis any general dermatologist would readily recognize."
518,Infectious,common,diagnosis,False,Herpes Zoster,Herpes Zoster,Viral,english,True,,vignette,easy,Classic dermatomal painful vesicles due to herpes zoster and its well-known complication of postherpetic neuralgia are core knowledge for general dermatologists.
519,Inflammatory,common,treatment,False,Urticaria,Urticaria,Vascular & Urticarial,english,True,,vignette,easy,Classic immediate-contact urticaria to latex after condom use with prior latex sensitivity; first-line management is a second-generation oral antihistamine like cetirizine.
520,Pigmentation,moderate,diagnosis,False,Acanthosis Nigricans,Acanthosis Nigricans,Hyperpigmentation,english,True,,vignette,easy,Recognizing acanthosis nigricans associated with obesity/insulin resistance and its link to PCOS—with irregular menses and obesity—reflects core dermatology knowledge distinguishing benign from paraneoplastic causes.
522,Inflammatory,common,treatment,False,Acne Vulgaris,Acne Vulgaris,Neutrophilic,english,True,,vignette,easy,"Initiating isotretinoin requires mandatory pregnancy testing due to teratogenicity (iPLEDGE), a core and widely known practice standard for dermatologists."
521,Inflammatory,moderate,diagnosis,False,Systemic Sclerosis (Scleroderma),Systemic Sclerosis,Autoimmune,english,True,,vignette,medium,Recognizing that fingertip calcinosis and sclerodactyly with Raynaud-like symptoms suggest limited cutaneous systemic sclerosis (CREST) and associating it with telangiectasias requires solid dermatology training beyond basic core knowledge.
523,Genetic Rare,rare,diagnosis,False,Severe Congenital Neutropenia,Severe Congenital Neutropenia,Syndromic,english,True,,vignette,medium,Identifying severe congenital neutropenia from neonatal impetigo-like lesions and persistently very low absolute neutrophil counts with relative lymphocytosis/monocytosis requires pediatric derm/immunology insight beyond routine adult dermatology knowledge.
524,Metabolic Systemic,moderate,diagnosis,False,Vitamin A Deficiency,Vitamin A Deficiency,Nutritional,english,True,,vignette,easy,"Classic presentation of vitamin A deficiency with xerophthalmia/Bitot spots and follicular hyperkeratosis, well-known core knowledge for general dermatologists."
525,Inflammatory,moderate,mechanism,True,Ace Inhibitor-Induced Angioedema,ACE Inhibitor-Induced Angioedema,Vascular & Urticarial,english,True,,vignette,easy,"Recognition of ACE inhibitor–induced angioedema causing lip swelling and associating it with ACE inhibition is core, widely known knowledge for general dermatologists."
527,Infectious,moderate,mechanism,True,Infective Endocarditis,Infective Endocarditis,Bacterial,english,True,,vignette,easy,"Classic signs of infective endocarditis (fever, weight loss, splinter hemorrhages, non-tender palm/sole lesions suggestive of Janeway lesions) point to septic microemboli, a core association familiar to general dermatologists."
526,Infectious,moderate,treatment,False,Syphilis,Syphilis,Bacterial,english,True,,vignette,easy,Recognizing the Jarisch–Herxheimer reaction after benzathine penicillin for secondary syphilis and managing it supportively with antipyretics/analgesics is core dermatology knowledge.
528,Genetic Rare,rare,diagnosis,False,Tuberous Sclerosis Complex,Tuberous Sclerosis Complex,Syndromic,english,True,,vignette,easy,Linking infant spasms and cardiac rhabdomyoma to tuberous sclerosis with ash-leaf hypopigmented macules is core dermatology knowledge.
530,Inflammatory,moderate,epidemiology,False,Dermatitis Herpetiformis,Dermatitis Herpetiformis,Autoimmune,english,True,,vignette,easy,Classic presentation of dermatitis herpetiformis (pruritic grouped vesicles on extensor surfaces) and its association with celiac disease and malabsorption is core dermatology knowledge.
531,Inflammatory,moderate,mechanism,True,Erythema Multiforme,Erythema Multiforme,Vascular & Urticarial,english,True,,vignette,medium,"Recognizing erythema multiforme from target lesions and HSV trigger is core, but selecting IFN-γ–mediated CD4+ T-cell pathogenesis over plausible immunologic distractors requires more nuanced immunopathology knowledge."
529,Pigmentation,moderate,diagnosis,False,Melasma,Melasma,Hyperpigmentation,english,True,,vignette,easy,Recognizing melasma triggered by oral contraceptives in a woman with symmetric facial hyperpigmentation is core dermatology knowledge.
533,Inflammatory,moderate,diagnosis,False,Bullous Pemphigoid,Bullous Pemphigoid,Autoimmune,english,True,,vignette,easy,"Classic presentation of bullous pemphigoid (pruritic, tense bullae, negative Nikolsky sign) with expected linear IgG/C3 at the dermoepidermal junction is core dermatology knowledge."
532,Inflammatory,moderate,mechanism,False,Serum Sickness,Serum Sickness,Vascular & Urticarial,english,True,,vignette,medium,"Recognizing serum sickness–like reaction after antivenom with urticarial plaques, arthralgias, fever, and proteinuria leading to hypocomplementemia requires linking a less-common drug reaction to its immune complex pathophysiology."
534,Infectious,common,diagnosis,True,Plantar Wart,Verruca Plantaris,Viral,english,True,,vignette,easy,Identifying a painful enlarging plantar lesion in a teenager as a wart caused by human papillomavirus is classic core dermatology knowledge.
535,Metabolic Systemic,rare,prognosis,False,Riboflavin Deficiency,Riboflavin Deficiency,Nutritional,english,True,,vignette,medium,"Recognizing angular cheilitis, glossitis, stomatitis, and normocytic anemia from riboflavin (vitamin B2) deficiency and linking it to seborrheic dermatitis requires specific vitamin–skin association knowledge beyond basic dermatology."
538,Inflammatory,moderate,diagnosis,False,Diffuse Cutaneous Systemic Sclerosis,Diffuse Cutaneous Systemic Sclerosis,Autoimmune,english,True,,vignette,easy,"Classic presentation of diffuse systemic sclerosis with widespread skin thickening and positive anti–Scl-70, distinguishing it from limited cutaneous disease (anti-centromere) and other autoimmune conditions."
537,Other,moderate,treatment,False,Chemical Burn,Chemical Burn,Traumatic & Environmental,english,True,,short_stem,easy,"This tests fundamental decontamination principles for chemical exposures—brushing off dry chemicals and removing clothing—which are core, widely taught emergency-dermatologic management steps."
539,Other,common,mechanism,True,General,General,Unclassified,english,True,,vignette,easy,Identifying color changes of a resolving bruise as due to heme breakdown by heme oxygenase is classic core knowledge for general dermatology and trauma-related skin findings.
536,Neoplastic,common,diagnosis,True,Seborrheic Keratosis,Seborrheic Keratosis,Benign,english,True,,vignette,easy,"Classic description of seborrheic keratoses with multiple “stuck-on,” greasy, waxy hyperpigmented papules in an older adult, a hallmark diagnosis any dermatologist would recognize readily."
541,Inflammatory,common,diagnosis,True,Psoriasis,Psoriasis Vulgaris,Papulosquamous,english,True,,vignette,easy,"Identifying a >1 cm, well-demarcated, erythematous, silvery-scaled lesion as a plaque in psoriasis is core dermatology knowledge."
540,Hair Nail,common,treatment,False,Androgenetic Alopecia,Androgenetic Alopecia,Hair Loss,english,True,,vignette,easy,Identifying finasteride as first-line therapy for male pattern androgenetic alopecia is core knowledge for general dermatologists.
542,Inflammatory,moderate,diagnosis,False,Pemphigus Vulgaris,Pemphigus Vulgaris,Autoimmune,english,True,,vignette,easy,"Classic presentation of pemphigus vulgaris with painful oral erosions preceding flaccid blisters, positive Nikolsky sign, and lack of pruritus is core dermatology knowledge."
543,Genetic Rare,rare,mechanism,False,Chronic Granulomatous Disease,Chronic Granulomatous Disease,Metabolic-Genetic,english,True,,vignette,easy,Identifying recurrent catalase-positive infections with purulent skin lesions and lymphadenopathy in a young child as chronic granulomatous disease due to NADPH oxidase deficiency is core dermatology/immunology knowledge.
544,Neoplastic,common,diagnosis,True,Actinic Keratosis,Actinic Keratosis,Premalignant,english,True,,vignette,easy,"Classic presentation of actinic keratoses on a sun-exposed scalp with rough, recurrent crusts in an older man with UV exposure history, a core dermatology diagnosis."
545,Neoplastic,rare,epidemiology,False,Penile Squamous Cell Carcinoma,Penile Squamous Cell Carcinoma,Malignant,english,True,,vignette,easy,"Association of circumcision with reduced risk of penile squamous cell carcinoma is a well-known core fact in general dermatology, while the other options are known risk factors or irrelevant."
546,Other,moderate,epidemiology,False,Body Dysmorphic Disorder,Body Dysmorphic Disorder,Psychocutaneous,english,True,,vignette,easy,"Recognizing body dysmorphic disorder–like presentation and the need to screen for comorbid major depression is a common, core clinical association for general dermatologists."
547,Inflammatory,common,treatment,False,Atopic Dermatitis,Atopic Dermatitis,Eczematous,english,True,,vignette,easy,Recognizing infantile atopic dermatitis on the face and knowing that topical corticosteroids are first-line with a known risk of skin atrophy from prolonged use is core dermatology knowledge.
548,Hair Nail,common,mechanism,False,Androgenetic Alopecia,Androgenetic Alopecia,Hair Loss,english,True,,vignette,easy,Identifying finasteride as a daily 5α-reductase inhibitor for androgenetic alopecia with decreased libido as a known side effect is core dermatology knowledge.
549,Infectious,rare,diagnosis,True,Necrotizing Fasciitis,Necrotizing Fasciitis,Bacterial,english,True,,vignette,medium,Recognizing suspected necrotizing soft tissue infection and knowing that definitive diagnosis requires urgent surgical exploration rather than imaging or antibiotic response reflects solid specialist training and emergency management nuance beyond basic dermatology knowledge.
552,Infectious,common,diagnosis,False,Candidal Diaper Dermatitis,Candidal Diaper Dermatitis,Fungal,english,True,,vignette,easy,Identifying candidal diaper dermatitis and its classic KOH finding of oval budding yeast with pseudohyphae is core dermatology knowledge with straightforward clinical clues and first-line therapy.
553,Infectious,common,diagnosis,True,Roseola Infantum,Roseola Infantum,Viral,english,True,,vignette,easy,Classic roseola presentation with high fever for several days followed by abrupt defervescence and onset of a blanching maculopapular trunk-predominant rash is core pediatric dermatology knowledge.
550,Inflammatory,moderate,diagnosis,False,Bullous Pemphigoid,Bullous Pemphigoid,Autoimmune,english,True,,vignette,easy,"Classic presentation of bullous pemphigoid with tense bullae and eosinophil-rich subepidermal blister where the standard next step is direct immunofluorescence, a core diagnostic principle familiar to general dermatologists."
551,Inflammatory,rare,diagnosis,False,Dermatitis Herpetiformis,Dermatitis Herpetiformis,Autoimmune,english,True,,vignette,medium,"Linking pruritic vesicles with erythematous, edematous base to dermatitis herpetiformis and recalling its association with celiac disease and iron deficiency anemia requires solid training beyond basic dermatology."
554,Infectious,moderate,treatment,False,Syphilis,Syphilis,Bacterial,english,True,,vignette,easy,"Classic primary syphilis presentation with Treponema pallidum confirmed by darkfield microscopy; first-line treatment is penicillin, which inhibits transpeptidase—core knowledge for general dermatologists."
556,Neoplastic,common,diagnosis,True,Basal Cell Carcinoma,Basal Cell Carcinoma,Malignant,english,True,,vignette,easy,"Identifying a slowly enlarging, nontender nasal lesion as basal cell carcinoma is core dermatology knowledge with classic location and presentation."
557,Inflammatory,moderate,diagnosis,False,Graft-Versus-Host Disease,Graft-Versus-Host Disease,Autoimmune,english,True,,vignette,medium,"Distinguishing acute versus chronic cutaneous GVHD by histopathology (e.g., hypergranulosis indicating lichenoid chronic GVHD vs basal vacuolar change of acute GVHD) requires specialized dermatopathology knowledge beyond routine general dermatology."
555,Neoplastic,common,mechanism,False,Melanoma,Melanoma,Malignant,english,True,,vignette,easy,Identifying a melanoma-like lesion and recognizing that a gene inhibiting cyclin function acts as a tumor suppressor requiring biallelic loss is core oncology/dermatology knowledge.
559,Metabolic Systemic,moderate,mechanism,False,Porphyria Cutanea Tarda,Porphyria Cutanea Tarda,Systemic Disease Manifestations,english,True,,vignette,easy,Classic presentation of porphyria cutanea tarda (photosensitive bullae on dorsal hands/face in hepatitis C and alcohol use) linked to elevated uroporphyrins is core dermatology knowledge.
